DayCode,DayDate,Acer,Alnus,Ambrosia,Apiaceae,Artemisia,Betula,Cannabaceae,Carpinus,Castanea,Chenopodiaceae,Cichorioideae,Corylus,Cupressaceae,Cyperaceae,Ericaceae,Fabaceae,Fagus,Fraxinus,Juglans,Ligustrum,Liquidambar,Moraceae,Myricaceae,Myrtaceae,Olea,other Asteroideae,other Oleaceae,Papaveraceae,Pinaceae,Plantago,Platanus,Poaceae,Populus,Quercus,Rosaceae,Rumex,Salix,Thalictrum,Tilia,Ulmus,Urticaceae
23,Jan 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Jan 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Jan 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Jan 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Jan 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Jan 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Jan 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Jan 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Jan 31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Feb 01,0,0,0,0,0,0,0,0,0,0,0,0,"2,4801587302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Feb 02,0,0,0,0,0,0,0,0,0,0,0,0,"1,4880952381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Feb 03,0,0,0,0,0,0,0,0,0,0,0,0,"3,4722222222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,9920634921",0
35,Feb 04,0,0,0,0,0,0,0,0,0,0,0,0,"5,4563492063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,496031746",0
36,Feb 05,0,0,0,0,0,0,0,0,0,0,0,0,"7,4404761905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,496031746",0,0,0,0,0,0,0,0,0,0,"1,4880952381",0
37,Feb 06,0,0,0,0,0,0,0,0,0,0,0,0,"4,9603174603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,496031746",0
38,Feb 07,0,0,0,0,0,0,0,0,0,0,0,0,"3,9682539683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Feb 08,0,0,0,0,0,0,0,0,0,0,0,0,"6,4484126984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,9920634921",0
40,Feb 09,0,0,0,0,0,0,0,0,0,0,0,"0,9920634921","25,7936507937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,496031746","0,496031746",0,0,0,0,0,0,0,0,0,"1,9841269841",0
41,Feb 10,0,0,0,0,0,0,0,0,0,0,0,0,"312,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,9603174603",0
42,Feb 11,0,"6,9444444444",0,0,0,"0,496031746",0,0,0,0,0,"1,4880952381","386,4087301587",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,9920634921",0,0,0,0,"0,496031746",0,0,0,0,"0,496031746",0,0,"11,9047619048","0,496031746"
43,Feb 12,0,0,0,0,0,0,0,0,0,0,0,"0,496031746","54,0674603175",0,0,"0,9920634921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,4801587302","0,496031746"
44,Feb 13,0,0,0,0,0,0,0,0,0,0,0,0,"26,7857142857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Feb 14,0,0,0,0,0,0,0,0,0,0,0,0,"15,376984127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Feb 15,0,"3,4722222222",0,0,0,0,0,0,0,0,0,0,"335,3174603175",0,0,"0,9920634921",0,0,0,0,0,"0,496031746",0,0,0,0,0,0,"1,4880952381",0,0,0,0,0,0,0,"2,4801587302",0,0,"20,8333333333","0,9920634921"
47,Feb 16,0,"6,4484126984",0,0,0,0,0,0,0,0,0,"0,496031746","105,6547619048",0,0,"0,9920634921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,496031746",0,0,0,0,0,"4,4642857143",0,0,"14,3849206349","2,9761904762"
48,Feb 17,0,0,0,0,0,0,0,0,0,0,0,0,"118,0555555556",0,0,0,0,0,0,0,0,0,0,0,0,"0,496031746",0,0,0,0,0,0,0,0,0,0,"1,9841269841",0,0,"13,3928571429","1,4880952381"
49,Feb 18,0,"3,9682539683",0,0,0,0,0,0,0,"0,496031746",0,0,"1057,5396825397",0,0,"1,4880952381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,9761904762",0,0,"9,9206349206","0,496031746"
50,Feb 19,0,"2,4801587302",0,0,0,0,0,0,0,0,0,"0,496031746","139,880952381",0,0,"0,496031746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,4722222222",0,0,0,0,"0,496031746",0,"4,9603174603","4,4642857143"
51,Feb 20,0,"16,8650793651",0,0,0,"0,9920634921",0,0,0,0,0,"1,4880952381","376,9841269841",0,0,"0,9920634921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,9841269841",0,0,0,"2,9761904762","0,496031746",0,"8,4325396825","0,9920634921"
52,Feb 21,0,"3,4722222222",0,0,0,0,0,0,0,0,0,0,"112,1031746032",0,0,"0,496031746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,496031746","1,9841269841",0,0,0,"0,496031746",0,0,"9,4246031746",0
53,Feb 22,0,"1,4880952381",0,0,0,0,0,"0,496031746",0,0,0,"4,4642857143","143,3531746032",0,0,0,0,"0,496031746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,9444444444",0,0,0,"5,9523809524",0,0,"7,4404761905","0,496031746"
54,Feb 23,0,"0,9920634921",0,0,0,0,0,0,0,0,0,"1,4880952381","76,3888888889",0,0,"0,496031746",0,0,0,0,0,0,0,0,0,0,"0,496031746",0,0,0,0,0,"1,4880952381",0,0,0,"13,3928571429",0,0,"1,4880952381",0
55,Feb 24,0,"0,9920634921",0,0,0,0,0,0,0,0,0,"0,496031746","635,9126984127",0,0,0,0,"2,9761904762",0,0,0,0,0,0,0,0,"0,496031746",0,0,0,0,0,"8,9285714286",0,0,0,"15,376984127",0,0,"1,9841269841",0
56,Feb 25,0,"1,9841269841",0,0,0,0,0,0,0,0,0,0,"479,1666666667",0,0,"1,4880952381",0,"4,9603174603",0,0,0,0,0,0,0,0,"1,4880952381",0,"0,9920634921",0,0,0,"5,9523809524",0,0,0,"19,3452380952",0,0,"2,9761904762","3,4722222222"
57,Feb 26,0,"0,9920634921",0,0,0,0,0,"0,496031746",0,0,0,0,"272,3214285714",0,0,"5,9523809524",0,"0,496031746",0,0,0,0,0,0,0,0,"1,9841269841",0,"0,496031746","0,496031746",0,0,"4,4642857143",0,0,0,"48,1150793651",0,0,"0,496031746","2,4801587302"
58,Feb 27,0,0,0,0,0,0,0,0,0,0,0,0,"39,1865079365",0,"0,496031746",0,0,"0,496031746",0,0,0,0,0,0,0,0,"5,9523809524",0,0,0,0,0,"2,4801587302",0,0,0,"4,9603174603",0,0,0,0
59,Feb 28,0,0,0,0,0,0,0,0,0,0,0,0,"211,8055555556",0,"0,496031746","4,4642857143",0,0,0,0,0,0,0,0,0,0,"10,9126984127",0,"0,496031746",0,0,0,"0,9920634921",0,0,0,"9,4246031746",0,0,"0,9920634921",0
60,Feb 29,"0,496031746","0,496031746",0,0,0,0,0,"1,9841269841",0,0,0,"0,496031746","368,0555555556",0,"4,9603174603","5,4563492063",0,0,0,0,"0,9920634921",0,0,0,0,"0,9920634921","1,9841269841",0,"16,369047619",0,"0,9920634921",0,"5,4563492063",0,0,0,"42,6587301587","0,496031746",0,"0,496031746","5,4563492063"
61,Mar 01,0,"0,496031746",0,0,0,0,0,"0,9920634921",0,0,0,0,"230,6547619048",0,"8,9285714286","2,4801587302",0,"5,9523809524",0,0,"1,9841269841",0,0,0,0,0,"3,4722222222",0,"42,1626984127",0,"1,9841269841","0,496031746","17,3611111111",0,"0,496031746",0,"111,1111111111",0,0,"4,4642857143","1,9841269841"
62,Mar 02,0,"1,9841269841",0,0,0,0,0,"0,9920634921",0,0,0,"3,4722222222","192,9563492063",0,0,0,0,"2,4801587302",0,0,"1,4880952381",0,0,0,0,0,"1,4880952381",0,"2,4801587302","0,496031746","1,4880952381",0,"15,376984127",0,0,0,"27,7777777778",0,0,"0,9920634921","3,9682539683"
63,Mar 03,0,"0,9920634921",0,0,0,0,0,"0,9920634921",0,0,0,"1,9841269841","188,4920634921",0,"0,9920634921","1,4880952381",0,"3,9682539683",0,0,"0,9920634921",0,0,0,0,0,"4,4642857143",0,"20,8333333333",0,"2,4801587302","0,9920634921","7,9365079365",0,"0,496031746",0,"39,1865079365",0,0,"4,4642857143","3,9682539683"
64,Mar 04,0,"0,9920634921",0,0,0,"0,496031746",0,0,0,0,0,0,"64,9801587302",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,9920634921",0,"1,9841269841",0,"0,496031746","0,496031746","2,4801587302",0,0,0,"4,9603174603",0,0,0,"0,496031746"
65,Mar 05,"0,9920634921",0,0,0,0,0,0,0,0,0,0,"1,9841269841","98,7103174603",0,0,"1,9841269841",0,"2,9761904762",0,0,"3,4722222222",0,0,0,0,0,0,0,"4,9603174603",0,"1,4880952381",0,"1,4880952381",0,0,0,"7,9365079365",0,0,0,"0,9920634921"
66,Mar 06,"0,9920634921",0,0,0,0,"0,496031746",0,"0,496031746",0,0,0,"0,9920634921","33,2341269841","0,496031746",0,0,0,"8,4325396825",0,0,0,0,0,0,0,0,0,0,"21,8253968254",0,"2,9761904762",0,"0,496031746",0,"0,496031746",0,"11,4087301587",0,0,"0,496031746","2,9761904762"
67,Mar 07,0,0,0,0,0,0,0,"0,496031746",0,0,0,0,"32,8055555556",0,"0,496031746",0,0,"12,4007936508",0,0,"6,9444444444",0,0,0,0,0,"1,4880952381",0,"73,4126984127",0,"19,8412698413","0,496031746",0,0,"0,496031746",0,"54,0674603175","0,9920634921",0,"1,4880952381","1,4880952381"
68,Mar 08,0,0,0,0,0,0,0,0,0,0,0,0,"1,4880952381",0,0,0,0,"0,496031746",0,0,0,"0,9920634921",0,0,0,0,0,0,"3,4722222222",0,"0,496031746",0,"0,496031746",0,0,0,0,0,0,0,0
69,Mar 09,"0,9920634921",0,0,0,0,0,0,"0,9920634921",0,0,0,0,"18,8492063492",0,0,"0,496031746",0,"0,9920634921",0,0,"2,4801587302",0,0,0,0,0,"0,496031746",0,"3,4722222222",0,"7,9365079365",0,"0,496031746",0,0,0,"4,9603174603",0,0,0,"1,4880952381"
70,Mar 10,"0,496031746",0,0,0,0,0,0,0,0,0,0,0,"3,4722222222",0,0,"0,496031746",0,0,0,0,0,"1,4880952381",0,0,0,0,"0,9920634921",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,496031746"
71,Mar 11,"0,9920634921",0,0,0,0,0,0,"12,4007936508",0,0,0,0,"19,3452380952",0,0,0,0,"2,4801587302",0,0,"0,9920634921",0,0,0,0,0,"2,9761904762",0,"18,8492063492",0,"37,2023809524",0,0,0,"0,496031746",0,"5,9523809524","0,9920634921",0,0,"3,4722222222"
72,Mar 12,"2,4801587302",0,0,0,0,0,0,"4,4642857143",0,0,0,0,"16,369047619",0,"0,496031746",0,0,"0,496031746",0,0,"0,496031746",0,0,0,0,0,"0,9920634921",0,"11,4087301587",0,"19,3452380952",0,0,"2,4801587302",0,0,"2,9761904762",0,0,"0,496031746",0
73,Mar 13,"0,9920634921",0,0,0,0,0,0,"0,496031746",0,0,0,0,"12,8968253968",0,"1,4880952381",0,0,0,0,0,0,0,0,0,0,0,"0,496031746",0,"41,1706349206",0,"10,9126984127","0,496031746","0,496031746","2,9761904762",0,0,0,0,0,0,"1,9841269841"
74,Mar 14,0,"0,496031746",0,0,0,0,"0,496031746","2,4801587302",0,0,0,0,"3,4722222222",0,0,0,"0,9920634921",0,0,0,0,0,0,0,0,0,"1,4880952381",0,"5,4563492063",0,"0,496031746",0,"0,496031746",0,0,0,0,0,0,0,"0,496031746"
75,Mar 15,"1,4880952381","0,9920634921",0,0,0,"0,496031746",0,"2,4801587302",0,0,0,0,"1,9841269841",0,0,0,0,0,0,0,0,"0,496031746",0,0,0,0,"0,9920634921",0,"1,4880952381",0,"3,9682539683",0,"0,496031746",0,"0,496031746",0,0,0,0,0,"0,496031746"
76,Mar 16,0,"1,9841269841",0,0,0,0,0,"7,4404761905",0,0,0,0,"6,9444444444",0,0,"3,4722222222",0,"1,4880952381",0,0,"0,9920634921","0,9920634921",0,0,0,0,"4,4642857143",0,"16,8650793651",0,"16,8650793651",0,"0,496031746","1,4880952381",0,0,"3,9682539683",0,0,"0,9920634921","1,4880952381"
77,Mar 17,"0,9920634921","0,496031746",0,0,0,"0,496031746",0,"5,4563492063",0,0,0,0,"1,4880952381",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,496031746",0,"11,9047619048",0,"46,130952381","0,496031746",0,"2,4801587302","0,9920634921",0,"0,496031746",0,0,"0,9920634921","4,9603174603"
78,Mar 18,"0,496031746","0,496031746",0,0,0,0,0,"0,496031746",0,0,0,0,"4,4642857143",0,"0,496031746",0,0,0,0,0,0,0,0,0,0,0,"2,4801587302",0,"17,8571428571",0,"90,2777777778",0,"0,9920634921",0,0,0,0,0,0,0,"6,9444444444"
79,Mar 19,"1,4880952381","0,9920634921",0,0,0,"0,496031746",0,"31,25",0,0,0,0,"76,3888888889",0,0,0,0,0,0,0,"0,9920634921","0,9920634921",0,0,0,0,"1,4880952381",0,"46,130952381",0,"36,2103174603","0,496031746","1,9841269841",0,0,0,"0,9920634921",0,0,0,"7,9365079365"
80,Mar 20,"17,8571428571","6,4484126984",0,0,0,"0,9920634921",0,"49,1071428571",0,0,0,"0,496031746","37,6984126984",0,0,0,"0,496031746",0,0,0,"0,496031746","5,4563492063",0,0,0,0,0,0,"29,7619047619",0,"125,9920634921","0,496031746","0,496031746","2,9761904762",0,0,"0,9920634921",0,0,0,"12,4007936508"
81,Mar 21,"10,9126984127","1,4880952381",0,0,0,"0,496031746",0,"22,3214285714",0,"1,4880952381",0,"0,9920634921","36,7063492063",0,"0,496031746",0,"1,4880952381",0,0,0,"0,496031746","28,7698412698",0,0,"1,4880952381",0,"4,4642857143",0,"30,2579365079",0,"141,369047619","0,9920634921",0,"9,9206349206",0,0,0,0,0,0,"13,8888888889"
82,Mar 22,"4,4642857143","1,9841269841",0,0,0,0,0,"29,2658730159",0,"0,496031746",0,"0,9920634921","123,0158730159",0,"0,9920634921","0,496031746","0,496031746",0,0,0,"1,9841269841","30,753968254",0,0,"0,9920634921",0,"2,4801587302",0,"136,4087301587",0,"317,4603174603","3,9682539683","1,9841269841","47,123015873","0,496031746",0,0,0,0,"0,496031746","17,8571428571"
83,Mar 23,"41,1706349206","1,4880952381",0,0,0,0,0,"71,9246031746",0,0,0,0,"226,1904761905",0,"0,9920634921","0,496031746","0,496031746",0,0,0,0,"12,4007936508",0,0,"0,9920634921",0,0,0,"676,0912698413",0,"575,8928571429","2,4801587302",0,"82,8373015873",0,0,0,0,0,0,"6,9444444444"
84,Mar 24,"27,7777777778",0,0,0,0,0,0,"71,9246031746",0,0,0,0,"40,1785714286",0,0,0,0,0,0,0,0,"4,4642857143",0,0,0,0,0,0,"159,2261904762",0,"169,1468253968",0,0,"49,6031746032",0,0,0,0,0,0,"8,9285714286"
85,Mar 25,"0,496031746","0,496031746",0,0,0,0,0,"35,7142857143",0,0,0,0,0,0,0,0,"0,496031746",0,"0,496031746",0,0,"2,9761904762",0,0,0,0,0,0,"30,2579365079",0,"20,3373015873","0,9920634921","1,9841269841","2,9761904762","0,496031746",0,0,0,0,0,"5,9523809524"
86,Mar 26,"2,4801587302","0,496031746",0,0,0,0,0,"8,4325396825",0,0,0,0,"0,496031746",0,0,0,"0,496031746",0,0,0,0,"1,4880952381",0,0,"0,9920634921",0,"0,496031746",0,"31,25","0,496031746","53,0753968254","0,496031746",0,"12,4007936508",0,0,0,0,0,0,"3,9682539683"
87,Mar 27,"0,496031746",0,0,0,0,0,0,"3,9682539683",0,0,0,0,"2,9761904762",0,0,0,"0,496031746",0,0,0,0,"7,4404761905",0,0,0,0,0,0,"7,9365079365","0,496031746","16,8650793651",0,0,"3,4722222222",0,0,0,0,0,0,"2,4801587302"
88,Mar 28,"3,4722222222",0,0,0,0,0,0,"4,9603174603",0,0,0,0,"4,9603174603",0,0,0,0,0,0,0,0,"20,8333333333",0,0,"0,9920634921",0,0,0,"35,7142857143",0,"83,3333333333","0,496031746","2,4801587302","1,9841269841",0,0,0,0,0,0,"10,9126984127"
89,Mar 29,"0,496031746",0,0,0,0,0,0,"23,3134920635",0,0,0,0,"6,4484126984",0,"0,9920634921",0,0,0,0,0,0,"18,3531746032",0,0,"0,496031746",0,0,0,"57,0436507937","4,9603174603","196,9246031746","0,496031746",0,"13,8888888889",0,0,0,0,0,0,"50,0992063492"
90,Mar 30,0,0,0,0,0,0,"1,4880952381","5,9523809524",0,0,0,0,"11,4087301587",0,0,0,"1,4880952381",0,0,0,0,"18,8492063492",0,0,"0,496031746",0,0,0,"15,376984127",0,"41,6666666667","0,9920634921",0,"2,9761904762",0,0,0,0,0,0,"32,2420634921"
91,Mar 31,0,0,0,0,0,0,"0,9920634921","12,8968253968",0,0,0,0,"52,5793650794",0,0,"0,496031746",0,0,0,0,0,"10,4166666667",0,0,0,"0,496031746",0,0,"7,4404761905","0,496031746","45,6349206349","0,9920634921",0,"7,9365079365",0,0,0,"1,4880952381",0,0,"51,5873015873"
92,Apr 01,"1,9841269841",0,0,0,0,0,"0,9920634921","9,9206349206",0,0,0,0,"26,7857142857",0,0,0,0,0,0,0,0,"13,8888888889",0,0,"0,496031746",0,0,0,"11,4087301587","0,9920634921","37,6984126984",0,"0,9920634921","3,4722222222",0,0,0,0,0,0,"36,2103174603"
93,Apr 02,"13,8888888889",0,0,0,0,0,"1,9841269841","48,6111111111",0,0,0,0,"58,0357142857",0,0,0,0,0,0,0,0,"10,9126984127",0,0,"0,496031746",0,0,0,"21,8253968254",0,"41,6666666667",0,"0,496031746","11,9047619048",0,0,0,0,0,0,"87,3015873016"
94,Apr 03,"18,3531746032",0,0,0,0,0,"2,9761904762","84,8214285714",0,0,0,0,"43,6507936508",0,0,"3,9682539683",0,0,0,0,0,"38,6904761905",0,0,"1,4880952381",0,0,0,"161,2103174603",0,"144,3452380952","0,9920634921","2,4801587302","65,9722222222",0,0,0,0,0,0,"97,2222222222"
95,Apr 04,"3,4722222222",0,0,0,0,0,"2,9761904762","30,753968254",0,0,0,0,"26,7857142857",0,0,0,0,0,"0,9920634921",0,0,"84,3253968254",0,0,"0,496031746","0,496031746","0,496031746",0,"69,9404761905",0,"128,4722222222",0,"5,9523809524","63,4920634921",0,0,0,0,0,0,"112,5992063492"
96,Apr 05,0,0,0,0,0,0,"2,4801587302","73,4126984127",0,0,0,0,"57,0436507937",0,0,0,0,0,0,0,0,"33,2341269841",0,0,0,"0,496031746","0,496031746",0,"47,619047619",0,"171,626984127","0,496031746","5,4563492063","77,380952381",0,0,0,0,0,0,"576,3888888889"
97,Apr 06,0,0,0,0,0,0,"3,4722222222","30,753968254",0,0,0,0,"100,6944444444","0,496031746",0,0,"1,9841269841",0,0,0,0,"5,9523809524",0,0,0,0,0,0,"21,3293650794",0,"49,6031746032",0,0,"45,6349206349",0,0,0,0,0,0,"686,0119047619"
98,Apr 07,"9,4246031746",0,0,0,0,0,"1,9841269841","40,6746031746",0,0,0,0,"36,7063492063",0,0,0,0,0,"1,9841269841",0,0,"19,8412698413",0,0,"0,496031746","0,9920634921",0,0,"19,8412698413",0,"39,1865079365",0,"1,9841269841","48,6111111111",0,0,0,0,0,0,"397,8174603175"
99,Apr 08,0,0,0,0,0,0,"1,4880952381","16,369047619",0,0,0,0,"42,1626984127",0,"0,496031746",0,0,0,"1,9841269841",0,0,"11,9047619048",0,0,"0,9920634921","0,496031746",0,0,"54,0674603175","1,9841269841","58,0357142857",0,"2,4801587302","85,3174603175",0,"0,496031746",0,"0,9920634921",0,0,"313,4920634921"
100,Apr 09,0,0,0,0,0,0,0,"17,8571428571",0,0,0,0,"23,8095238095",0,0,"0,9920634921","0,9920634921",0,"0,9920634921",0,0,"8,4325396825",0,0,0,0,0,0,"29,7619047619","0,496031746","56,5476190476","0,496031746",0,"141,369047619",0,0,0,0,0,0,"279,7619047619"
101,Apr 10,"6,4484126984",0,0,0,0,0,"1,4880952381","23,8095238095",0,0,0,0,"14,880952381",0,0,"0,496031746","2,9761904762",0,"0,496031746",0,0,"14,880952381",0,0,"2,4801587302",0,0,0,"14,880952381",0,"10,9126984127",0,0,"62,996031746",0,0,0,0,0,0,"319,4444444444"
102,Apr 11,"0,496031746",0,0,0,0,0,"1,4880952381","20,3373015873",0,0,0,0,"78,869047619","0,9920634921",0,"0,9920634921","0,496031746",0,"0,9920634921",0,0,0,0,0,"3,9682539683",0,0,0,"70,4365079365","0,496031746","4,4642857143","0,9920634921",0,"177,5793650794",0,0,0,"0,9920634921",0,0,"168,6507936508"
103,Apr 12,0,0,0,0,0,0,0,"90,2777777778",0,"0,9920634921",0,0,"72,9166666667",0,0,0,"3,9682539683",0,"1,4880952381",0,0,"3,9682539683",0,0,"2,4801587302",0,"0,496031746",0,"38,6904761905","2,4801587302","1,9841269841","0,9920634921",0,"237,1031746032",0,0,0,"0,496031746",0,0,"280,2579365079"
104,Apr 13,0,0,0,0,0,0,"0,9920634921","114,0873015873",0,0,0,0,"92,7579365079","0,9920634921",0,0,"3,9682539683",0,"0,496031746",0,0,"0,9920634921",0,0,"2,4801587302",0,0,0,"4,9603174603","0,496031746","7,9365079365","0,496031746","0,496031746","194,4444444444",0,0,0,"0,496031746",0,0,"166,1706349206"
